Code,GeoFips,GeoName,TimePeriod,CL_UNIT,UNIT_MULT,DataValue,NoteRef
CAGDP2-1,31140,"Louisville/Jefferson County, KY-IN (Metropolitan Statistical Area)",2023,Thousands of dollars,3,97751023,
CAGDP2-1,31140,"Louisville/Jefferson County, KY-IN (Metropolitan Statistical Area)",2022,Thousands of dollars,3,91362832,
CAGDP2-1,31180,"Lubbock, TX (Metropolitan Statistical Area)",2022,Thousands of dollars,3,18382935,
CAGDP2-1,31180,"Lubbock, TX (Metropolitan Statistical Area)",2023,Thousands of dollars,3,19655310,
CAGDP2-1,31340,"Lynchburg, VA (Metropolitan Statistical Area) *",2023,Thousands of dollars,3,13511861,*
CAGDP2-1,31340,"Lynchburg, VA (Metropolitan Statistical Area) *",2022,Thousands of dollars,3,12481936,*
CAGDP2-1,31420,"Macon-Bibb County, GA (Metropolitan Statistical Area)",2022,Thousands of dollars,3,12914807,
CAGDP2-1,31420,"Macon-Bibb County, GA (Metropolitan Statistical Area)",2023,Thousands of dollars,3,13337109,
CAGDP2-1,31460,"Madera, CA (Metropolitan Statistical Area)",2023,Thousands of dollars,3,8025001,
CAGDP2-1,31460,"Madera, CA (Metropolitan Statistical Area)",2022,Thousands of dollars,3,7563022,
CAGDP2-1,31540,"Madison, WI (Metropolitan Statistical Area)",2022,Thousands of dollars,3,61328792,
CAGDP2-1,31540,"Madison, WI (Metropolitan Statistical Area)",2023,Thousands of dollars,3,66115608,
CAGDP2-1,31700,"Manchester-Nashua, NH (Metropolitan Statistical Area)",2023,Thousands of dollars,3,36596890,
CAGDP2-1,31700,"Manchester-Nashua, NH (Metropolitan Statistical Area)",2022,Thousands of dollars,3,34499830,
CAGDP2-1,31740,"Manhattan, KS (Metropolitan Statistical Area)",2022,Thousands of dollars,3,8490282,
CAGDP2-1,31740,"Manhattan, KS (Metropolitan Statistical Area)",2023,Thousands of dollars,3,8802533,
CAGDP2-1,31860,"Mankato, MN (Metropolitan Statistical Area)",2023,Thousands of dollars,3,7182368,
CAGDP2-1,31860,"Mankato, MN (Metropolitan Statistical Area)",2022,Thousands of dollars,3,6896213,
CAGDP2-1,31900,"Mansfield, OH (Metropolitan Statistical Area)",2022,Thousands of dollars,3,5512280,
CAGDP2-1,31900,"Mansfield, OH (Metropolitan Statistical Area)",2023,Thousands of dollars,3,5920097,
CAGDP2-1,32580,"McAllen-Edinburg-Mission, TX (Metropolitan Statistical Area)",2023,Thousands of dollars,3,30225234,
CAGDP2-1,32580,"McAllen-Edinburg-Mission, TX (Metropolitan Statistical Area)",2022,Thousands of dollars,3,28069132,
CAGDP2-1,32780,"Medford, OR (Metropolitan Statistical Area)",2022,Thousands of dollars,3,11936621,
CAGDP2-1,32780,"Medford, OR (Metropolitan Statistical Area)",2023,Thousands of dollars,3,12853288,
CAGDP2-1,32820,"Memphis, TN-MS-AR (Metropolitan Statistical Area)",2023,Thousands of dollars,3,102934012,
CAGDP2-1,32820,"Memphis, TN-MS-AR (Metropolitan Statistical Area)",2022,Thousands of dollars,3,96976712,
CAGDP2-1,32900,"Merced, CA (Metropolitan Statistical Area)",2023,Thousands of dollars,3,12214481,
CAGDP2-1,32900,"Merced, CA (Metropolitan Statistical Area)",2022,Thousands of dollars,3,11841720,
CAGDP2-1,33100,"Miami-Fort Lauderdale-Pompano Beach, FL (Metropolitan Statistical Area)",2023,Thousands of dollars,3,533673895,
CAGDP2-1,33100,"Miami-Fort Lauderdale-Pompano Beach, FL (Metropolitan Statistical Area)",2022,Thousands of dollars,3,490645936,
CAGDP2-1,33140,"Michigan City-La Porte, IN (Metropolitan Statistical Area)",2022,Thousands of dollars,3,5301184,
CAGDP2-1,33140,"Michigan City-La Porte, IN (Metropolitan Statistical Area)",2023,Thousands of dollars,3,5676096,
CAGDP2-1,33220,"Midland, MI (Metropolitan Statistical Area)",2023,Thousands of dollars,3,7636137,
CAGDP2-1,33220,"Midland, MI (Metropolitan Statistical Area)",2022,Thousands of dollars,3,7032957,
CAGDP2-1,33260,"Midland, TX (Metropolitan Statistical Area)",2022,Thousands of dollars,3,54786068,
CAGDP2-1,33260,"Midland, TX (Metropolitan Statistical Area)",2023,Thousands of dollars,3,53664570,
CAGDP2-1,33340,"Milwaukee-Waukesha, WI (Metropolitan Statistical Area)",2023,Thousands of dollars,3,130856689,
CAGDP2-1,33340,"Milwaukee-Waukesha, WI (Metropolitan Statistical Area)",2022,Thousands of dollars,3,122210092,
CAGDP2-1,33460,"Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)",2022,Thousands of dollars,3,328636922,
CAGDP2-1,33460,"Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)",2023,Thousands of dollars,3,350710432,
CAGDP2-1,33540,"Missoula, MT (Metropolitan Statistical Area)",2023,Thousands of dollars,3,8201713,
CAGDP2-1,33540,"Missoula, MT (Metropolitan Statistical Area)",2022,Thousands of dollars,3,7541119,
CAGDP2-1,33660,"Mobile, AL (Metropolitan Statistical Area)",2023,Thousands of dollars,3,29553574,
CAGDP2-1,33660,"Mobile, AL (Metropolitan Statistical Area)",2022,Thousands of dollars,3,27630065,
CAGDP2-1,33700,"Modesto, CA (Metropolitan Statistical Area)",2023,Thousands of dollars,3,30597632,
CAGDP2-1,33700,"Modesto, CA (Metropolitan Statistical Area)",2022,Thousands of dollars,3,29053478,
CAGDP2-1,33740,"Monroe, LA (Metropolitan Statistical Area)",2022,Thousands of dollars,3,9606843,
CAGDP2-1,33740,"Monroe, LA (Metropolitan Statistical Area)",2023,Thousands of dollars,3,10276428,
CAGDP2-1,33780,"Monroe, MI (Metropolitan Statistical Area)",2023,Thousands of dollars,3,7956412,
CAGDP2-1,33780,"Monroe, MI (Metropolitan Statistical Area)",2022,Thousands of dollars,3,7456452,
CAGDP2-1,33860,"Montgomery, AL (Metropolitan Statistical Area)",2022,Thousands of dollars,3,22199708,
CAGDP2-1,33860,"Montgomery, AL (Metropolitan Statistical Area)",2023,Thousands of dollars,3,24065840,
CAGDP2-1,34060,"Morgantown, WV (Metropolitan Statistical Area)",2023,Thousands of dollars,3,10070965,
CAGDP2-1,34060,"Morgantown, WV (Metropolitan Statistical Area)",2022,Thousands of dollars,3,9718097,
CAGDP2-1,34100,"Morristown, TN (Metropolitan Statistical Area)",2022,Thousands of dollars,3,6857928,
CAGDP2-1,34100,"Morristown, TN (Metropolitan Statistical Area)",2023,Thousands of dollars,3,7387094,
CAGDP2-1,34580,"Mount Vernon-Anacortes, WA (Metropolitan Statistical Area)",2023,Thousands of dollars,3,8858346,
CAGDP2-1,34580,"Mount Vernon-Anacortes, WA (Metropolitan Statistical Area)",2022,Thousands of dollars,3,8619679,
CAGDP2-1,34620,"Muncie, IN (Metropolitan Statistical Area)",2022,Thousands of dollars,3,5086293,
CAGDP2-1,34620,"Muncie, IN (Metropolitan Statistical Area)",2023,Thousands of dollars,3,5333469,
CAGDP2-1,34740,"Muskegon, MI (Metropolitan Statistical Area)",2023,Thousands of dollars,3,8004713,
CAGDP2-1,34740,"Muskegon, MI (Metropolitan Statistical Area)",2022,Thousands of dollars,3,7483302,
CAGDP2-1,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC (Metropolitan Statistical Area)",2023,Thousands of dollars,3,27945154,
CAGDP2-1,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC (Metropolitan Statistical Area)",2022,Thousands of dollars,3,25541731,
CAGDP2-1,34900,"Napa, CA (Metropolitan Statistical Area)",2023,Thousands of dollars,3,14227116,
CAGDP2-1,34900,"Napa, CA (Metropolitan Statistical Area)",2022,Thousands of dollars,3,12883765,
CAGDP2-1,34940,"Naples-Marco Island, FL (Metropolitan Statistical Area)",2022,Thousands of dollars,3,28718587,
CAGDP2-1,34940,"Naples-Marco Island, FL (Metropolitan Statistical Area)",2023,Thousands of dollars,3,31526854,
CAGDP2-1,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN (Metropolitan Statistical Area)",2023,Thousands of dollars,3,204861124,
CAGDP2-1,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN (Metropolitan Statistical Area)",2022,Thousands of dollars,3,188626277,
CAGDP2-1,35100,"New Bern, NC (Metropolitan Statistical Area)",2022,Thousands of dollars,3,6726133,
